### Footprint positions - created on 2025-06-25T16:11:25+0530 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        4.7uF                        C_0603_1608Metric                                          13.1350    15.7500  180.0000  top
C2        4.7uF                        C_0603_1608Metric                                          16.4000    12.1500   90.0000  top
C3        4.7uF                        C_0603_1608Metric                                          32.0000    28.7500  180.0000  top
C4        100nF                        C_0402_1005Metric                                          33.0000    25.2500  180.0000  top
C5        100nF                        C_0402_1005Metric                                          42.0000    21.7500  -90.0000  top
C6        4.7uF                        C_0603_1608Metric                                          28.8000    13.6500  -90.0000  top
C7        100nF                        C_0402_1005Metric                                          29.2500    21.2500  180.0000  top
C8        100nF                        C_0402_1005Metric                                          37.7000    13.9500    0.0000  top
C9        100nF                        C_0402_1005Metric                                          33.0000    26.7500  180.0000  top
C10       100nF                        C_0402_1005Metric                                          28.5000    16.7500   90.0000  top
C11       100nF                        C_0402_1005Metric                                          42.0000    19.2500    0.0000  top
C12       100nF                        C_0402_1005Metric                                          30.0000    16.7500   90.0000  top
C13       100nF                        C_0402_1005Metric                                          28.8000    10.8500  180.0000  top
C14       4.7uF                        C_0603_1608Metric                                          37.5000    25.7500    0.0000  top
C15       0.8pF                        C_0402_1005Metric                                          44.0000    19.7500  -90.0000  top
C16       0.3pF                        C_0402_1005Metric                                          48.0000    19.7500  -90.0000  top
C17       10p                          C_0402_1005Metric                                          34.7500    14.0000    0.0000  top
C18       10p                          C_0402_1005Metric                                          32.2500    14.0000  180.0000  top
C19       100nF                        C_0402_1005Metric                                          29.5000     5.7500  -90.0000  top
D1        LED                          C_0402_1005Metric                                          43.0000    13.5000   90.0000  top
FID1      Fiducial                     Fiducial_1mm_Mask2mm                                        2.1000    27.7500    0.0000  top
FID2      Fiducial                     Fiducial_1mm_Mask2mm                                       50.1000    27.7500    0.0000  top
FID3      Fiducial                     Fiducial_1mm_Mask2mm                                       50.0000     3.5000    0.0000  top
FLT1      DLF162500LT-5028A1           Untitled                                                   51.0000    20.2500    0.0000  top
J1        Conn_01x04                   Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal          5.5000     8.7250  -90.0000  top
J2        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     3.6000    19.2500  -90.0000  top
J3        Conn_Coaxial                 U.FL_Hirose_U.FL-R-SMT-1_Vertical                          55.0000    20.2500    0.0000  top
L1        10nH                         L_0402_1005Metric                                          34.7500    25.7500   90.0000  top
L2        10uH                         L_0805_2012Metric                                          36.0000    28.7500    0.0000  top
L3        2.7nH                        L_0402_1005Metric                                          46.0000    20.2500    0.0000  top
R1        100R                         C_0402_1005Metric                                          39.5000    13.5000   90.0000  top
R2        100R                         C_0402_1005Metric                                          41.0000    13.5000   90.0000  top
R3        220R                         C_0402_1005Metric                                          44.5000    13.5000  -90.0000  top
R4        5K1                          C_0402_1005Metric                                           4.6800    12.7500  180.0000  top
R5        5K1                          C_0402_1005Metric                                           4.7000    25.5500  180.0000  top
R6        100R                         C_0402_1005Metric                                          31.0000     5.7500  -90.0000  top
R7        5k1                          C_0402_1005Metric                                          30.3000     7.7500  180.0000  top
SW1       SW_Push                      SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS           37.0000     5.7500    0.0000  top
U1        MIC5365-3.3YD5               SOT-23-5                                                   13.0850    12.2500  -90.0000  top
U2        USBLC6-2SC6                  SOT-23-6                                                   13.0000    19.2500    0.0000  top
U3        STM32WB55CEU6                QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        36.0000    19.2500   90.0000  top
X1        32KHz768                     Crystal_SMD_2012-2Pin_2.0x1.2mm                            33.5000    12.2500  180.0000  top
X2        32MHz                        Crystal_SMD_2016-4Pin_2.0x1.6mm                            41.7500    25.7500   90.0000  top
## End
